step,loss
0.0,0.5763
1.0,0.7678
2.0,0.4281
3.0,0.376
4.0,0.4059
5.0,0.3687
6.0,0.4066
7.0,0.3155
8.0,0.4137
9.0,0.2432
10.0,0.2381
11.0,0.289
12.0,0.1362
13.0,0.2237
14.0,0.262
15.0,0.1875
16.0,0.219
17.0,0.1821
18.0,0.2117
19.0,0.2621
20.0,0.1568
21.0,0.2052
22.0,0.2283
23.0,0.1426
24.0,0.1793
25.0,0.1192
26.0,0.1483
27.0,0.1999
28.0,0.1273
29.0,0.1185
30.0,0.1858
31.0,0.1555
32.0,0.1444
33.0,0.1213
34.0,0.132
35.0,0.1267
36.0,0.0932
37.0,0.1269
38.0,0.1274
39.0,0.1192
40.0,0.0982
41.0,0.1179
42.0,0.1439
43.0,0.1366
44.0,0.0889
45.0,0.0852
46.0,0.0966
47.0,0.1181
48.0,0.1168
49.0,0.1016
50.0,0.0862
51.0,0.1242
52.0,0.0756
53.0,0.0925
54.0,0.061
55.0,0.1139
56.0,0.0924
57.0,0.0992
58.0,0.1143
59.0,0.0818
60.0,0.0593
61.0,0.0881
62.0,0.0945
63.0,0.0955
64.0,0.0911
65.0,0.0921
66.0,0.106
67.0,0.0649
68.0,0.0921
69.0,0.0755
70.0,0.0875
71.0,0.0722
72.0,0.1008
73.0,0.1044
74.0,0.0752
75.0,0.0731
76.0,0.0717
77.0,0.1224
78.0,0.0808
79.0,0.0642
80.0,0.0626
81.0,0.086
82.0,0.0812
83.0,0.0857
84.0,0.0969
85.0,0.0838
86.0,0.0679
87.0,0.094
88.0,0.1207
89.0,0.0501
90.0,0.0725
91.0,0.0973
92.0,0.0697
93.0,0.0663
94.0,0.062
95.0,0.0804
96.0,0.0804
97.0,0.061
98.0,0.0692
99.0,0.0759
100.0,0.11
101.0,0.0745
102.0,0.0592
103.0,0.0587
104.0,0.0739
105.0,0.0825
106.0,0.083
107.0,0.0628
108.0,0.0761
109.0,0.1195
110.0,0.0708
111.0,0.0746
112.0,0.0895
113.0,0.0653
114.0,0.0864
115.0,0.0633
116.0,0.077
117.0,0.092
118.0,0.0702
119.0,0.0887
120.0,0.073
121.0,0.0703
122.0,0.0777
123.0,0.0702
124.0,0.0745
125.0,0.0704
126.0,0.0731
127.0,0.0593
128.0,0.0619
129.0,0.0651
130.0,0.0465
131.0,0.0863
132.0,0.0694
133.0,0.0602
134.0,0.0585
135.0,0.0637
136.0,0.0491
137.0,0.0417
138.0,0.0675
139.0,0.0596
140.0,0.0527
141.0,0.0772
142.0,0.0548
143.0,0.0655
144.0,0.1144
145.0,0.0448
146.0,0.073
147.0,0.0562
148.0,0.0591
149.0,0.0595
150.0,0.0541
151.0,0.0761
152.0,0.0607
153.0,0.0577
154.0,0.0516
155.0,0.0855
156.0,0.0608
157.0,0.0628
158.0,0.0546
159.0,0.077
160.0,0.0359
161.0,0.0504
162.0,0.05
163.0,0.0546
164.0,0.0548
165.0,0.094
166.0,0.0476
167.0,0.0639
168.0,0.0585
169.0,0.0642
170.0,0.0665
171.0,0.0704
172.0,0.0486
173.0,0.0471
174.0,0.0434
175.0,0.0506
176.0,0.0446
177.0,0.0608
178.0,0.0503
179.0,0.0435
180.0,0.046
181.0,0.0482
182.0,0.0536
183.0,0.0553
184.0,0.0729
185.0,0.0608
186.0,0.0553
187.0,0.0798
188.0,0.0634
189.0,0.0598
190.0,0.0466
191.0,0.0569
192.0,0.0566
193.0,0.054
194.0,0.0685
195.0,0.0348
196.0,0.0484
197.0,0.0544
198.0,0.0428
199.0,0.0486
200.0,0.0624
201.0,0.0537
202.0,0.0549
203.0,0.0633
204.0,0.0487
205.0,0.0446
206.0,0.0645
207.0,0.0463
208.0,0.0604
209.0,0.0631
210.0,0.0497
211.0,0.0432
212.0,0.0505
213.0,0.058
214.0,0.0461
215.0,0.0496
216.0,0.0571
217.0,0.0657
218.0,0.073
219.0,0.0417
220.0,0.0491
221.0,0.0504
222.0,0.0598
223.0,0.0776
224.0,0.0599
225.0,0.0536
226.0,0.0505
227.0,0.0559
228.0,0.0553
229.0,0.0456
230.0,0.0531
231.0,0.0577
232.0,0.0492
233.0,0.0565
234.0,0.0552
235.0,0.034
236.0,0.0761
237.0,0.0457
238.0,0.0718
239.0,0.0454
240.0,0.0471
241.0,0.0572
242.0,0.0675
243.0,0.0572
244.0,0.0506
245.0,0.0562
246.0,0.0466
247.0,0.0355
248.0,0.0432
249.0,0.0788
250.0,0.0582
251.0,0.0441
252.0,0.0469
253.0,0.0484
254.0,0.0482
255.0,0.0499
256.0,0.0618
257.0,0.0556
258.0,0.0558
259.0,0.0527
260.0,0.0608
261.0,0.0626
262.0,0.0426
263.0,0.0672
264.0,0.061
265.0,0.0386
266.0,0.0481
267.0,0.042
268.0,0.0391
269.0,0.0554
270.0,0.0429
271.0,0.0499
272.0,0.0445
273.0,0.0552
274.0,0.0476
275.0,0.0487
276.0,0.0473
277.0,0.0451
278.0,0.0851
279.0,0.0661
280.0,0.0436
281.0,0.0633
282.0,0.0488
283.0,0.0427
284.0,0.0498
285.0,0.0352
286.0,0.051
287.0,0.0368
288.0,0.0439
289.0,0.0416
290.0,0.0608
291.0,0.0384
292.0,0.0472
293.0,0.0374
294.0,0.068
295.0,0.0463
296.0,0.0467
297.0,0.0714
298.0,0.0367
299.0,0.0681
300.0,0.055
301.0,0.0411
302.0,0.0456
303.0,0.039
304.0,0.0547
305.0,0.0454
306.0,0.0381
307.0,0.035
308.0,0.0424
309.0,0.0576
310.0,0.0388
311.0,0.0366
312.0,0.0522
313.0,0.0478
314.0,0.0474
315.0,0.0591
316.0,0.0364
317.0,0.0699
